Cultivar Name,Female Parent,Male Parent,Breeder,Year
aafje,kewensis,caerulea constance eliott,k. oldegarm,?
abigail,amethystina var. bolosii,loefgrenii corupa,john vanderplank,2007
adelheid,rubra,citrina,sebastien wolter,2009
adoroso,incarnata alba,kermesina,henk wouters,2007
adularia,sanguinolenta,citrina,john vanderplank,1994
agi,incarnata,caerulea,?,?
aida,decaisneana,aff. oerstedii,leopold sevcik,1998
alabama,selection of incarnata,?,?,?
albarosa,princeps,tucumanensis,maurizio vecchia,?
albert,coriacea,megacoriacea,rosali ziller,2009
albiflora,selection of foetida,?,?,?
albina,(princeps x incarnata),aff. oerstedii,leopold sevcik,1996
alejandra,incarnata alba,incense,antonia gil,2015
alena,incarnata,caerulea constance eliott,?,?
alexandre d-j,pura vida 1,lilac sunset,sebastien sabureau,2014
alexia,gritensis,kermesina,henk wouters,2005
alfie,?,?,?,?
alice,selection of edulis,?,?,?
alice gossiaux,inspiration,soi fah,yvan vilain,2021
alisus betica,selection of caerulea,pepa fernandez,?,?
allegra,incarnata,cincinnata (dark pollen),maurizio vecchia,?
allspice,incarnata (?),cincinnata (?),?,?
alva,palmeri var. sublanceolata,foetida var. foetida,margarete m. souza,2008
alwin berger,white wedding,loefgrenii iporanga,lutz schmalfuss / volker lorenz,2011
alyssa,((jutta x incarnata) x incarnata),incarnata,josh krupnick,2014
alzire,amethyst,amethystina,axel frank / franz dülli,2009
amalia,blue star,amethystina são sebastião,henk wouters,2004
amanda joy,mary jane,?,ronald boender,2007
amberg 96,princeps,caerulea,?,?
ametcaer,amethystina,caerulea,0,2003
amethyst,?,?,?,?
amethyst beauty,princeps,caerulea,?,?
amethyst star,probably synonym for amethyst,?,?,?
amy,selection of trifasciata,?,patrick worley,1984
anastasia,gritensis,caerulea constance eliott,joos brander,2000
andrea,(decaisneana x aff. oerstedii),caerulea constance eliott,leopold sevcik,1996
andromeda,violacea,caerulea,Eric Wortman / Crystal Stone,2015
andy,amethyst,caerulea,guido van herck,?
anemona,actinia,caerulea constance eliott,cor laurens,?
angela,violacea,caerulea constance eliott,leopold sevcik,1996
angelface,kermesina,eichleriana,henk wouters,2007
angel lito,gibertii,caerulea,delfin santiago,2019
angelo blu,amethyst,subpeltata,maurizio vecchia,1999
angel of sierre,alata,caerulea constance eliott,raoul vranken,2015
angel rebelle,vitifolia,caerulea avalanche,stephane fehr,2017
aninha,palmeri var. sublanceolata,foetida var. foetida,margarete m. souza,2008
anke,incarnata,amethystina,stefan lang,2005
anna,decaisneana,tucumanensis,leopold sevcik,1993
anna christine,violacea,caerulea,fraser wescott,?
anna-flora,pink passion,caerulea avalanche,sebastien sabureau,2014
annette,kewensis,princeps,axel frank,2000
anni dierckx,annette,caerulea pierre pomie,raoul & patrizia vranken-smeets,2009
annika,pura vida,garckei,?,?
araba fenice,?,?,Stefania Mattuzzio,2015
arabesque,aurora,sublanceolata,maurizio vecchia,2010
aracne,tucumanensis,rosacea,maurizio vecchia,?
aragorn,kermesina,oerstedii var. choconiana,roland fischer,?
arapuni,loefgrenii corupa,purple haze,?,2005
arc-en-ciel,princeps,caerulea,?,?
argenta,amethyst,subpeltata,maurizio vecchia,2001
argentina,?,?,?,selection of caerulea
ariane,gritensis,loefgrenii iporanga,henk wouters,2007
aruska,loefgrenii corupa,simpin,2005,?
asmara,incarnata,loefgrenii corupa,2005,?
asterix,barbora,caerulea constance eliott,maurizio vecchia,1999
atropos,amethyst,amethystina minas gerais,crystal stone / eric wortman,2011
atrorubens,princeps,caerulea,monika gottschalk,1999
aurora,foetida,palmeri var. sublanceolata,maurizio vecchia,?
auroras crimson star,miniata,incarnata,dawn bethea,2023
aubergine,decaisneana,trialata,ronald boender,?
australian purple,selection of edulis,?,?,?
avalanche,selection of caerulea constance eliott,0,cor laurens,2002
azul celeste,sweet surrender,caerulea,henk wouters,2009
bahama mama,colet,amethystina,stefan lang,2007
bahia,selection of cincinnata,?,?,?
bailando,?,?,henk wouters,2015
bailey jane,arida,foetida var. foetida,nick lambert,2014
balam,coriacea,xiikzodz,john macdougal,1996
banana poka,syn.: tripartita var. mollissima,?,?,?
banna sky,jolly jack,caerulea,fuchuan wu,2021
banshee,byron beauty,byron beauty,stefan lang,2004
bärbel heidepriem,carla viola,amethystina minas gerais,ernst natt,2014
barborea,amethyst,caerulea constance eliott,maurizio vecchia,?
barbora,lavender lady,?,leopold sevcik,1996
basing park hybrid,george nicholson,1901,?,?
beaky,violacea victoria,caerulea,c. beardshaw,?
beauty,?,?,?,?
beauty of hannover,white mirror,clear sky,nisa knust,2015
becky speed,cobanensis,citrina,martin wills,2004
bella,gardneri,gibertii,margarete m. souza,2010
berkeley,subpeltata,?,?,2008
bessy,amethyst,caerulea,leopold sevcik,1992
betsie greijmans,henk wouters,?,?,?
betty myles young,clear sky,loefgrenii iporanga,myles irvine,2005
betty torrent,valentine,incarnata rose,sebastien sabureau,2014
beyond purple,(incarnata gator bride x cincinnata),(inspiration x inspiration),robert dostal,2023
biancaneve,clara luna,caerulea avalanche,maurizio vecchia,?
bijou,?,?,?,?
black beauty,selection of edulis,patrick worley,1983,?
black knight,selection of edulis,patrick worley,1993,?
blanca / blanka,caerulea constance eliott,(lavender lady caerulea),?,?
blaumilch,garckei,caerulea constance eliott,?,?
blaupunkt,blaumilch,amethystina,axel frank / franz dülli,?
blowback,exoniensis,umbilicata,henk wouters / david potter,2007
blue bouquet,caerulea,lavender lady,richard mccain,1989
blue bird,incarnata,tucumanensis,john vanderplank,2000
blue boy,incarnata,caerulea,?,?
blue bride,incarnata alba,loefgrenii iporanga,henk wouters,2005
blue byte,?,?,?,?
blue carnival,cincinnata,caerulea constance eliott,monika gottschalk,?
blue circle,violacea,loefgrenii corupa,marian oldenbuerger / artur müller,2011
blue comet,sidifolia,loefgrenii,Carlos Rendon / Carlos Ibarra,2015
blue crown,syn.: caerulea,?,?,?
blue desire,tucumanensis,menispermifolia,ulmers,2001
blue fairy,fata confetto,caerulea,lukacsne sarvari,2017
blue for you,incarnata,?,stefan lang,2007
blue haze,steve szost,?,?,?
blue horizon,?,?,patrick worley,?
blue lagoon,byron beauty,temptation,raoul vranken,2015
blue moon,syn.: macrocarpa,?,?,?
blue splash,colet,aff. crassifolia,stefan lang,2004
blue star,amethyst,subpeltata,van der steeg,?
blue stripper,incarnata,umbilicata,henk wouters,2007
blue surprise,caerulea,loefgrenii iporanga,francois thuys,2004
blue velvet,selection of incense,?,roland fischer,?
blue wave,amethyst,caerulea,Stefania Mattuzzio,2015
bluetegeist,incarnata,jutta,david costen,2008
bobby,sidifolia,?,Shawn Mattison,2015
bodea,?,?,?,?
bolivia,selection of menispermifolia,?,?,?
bonita,princeps,tucumanensis,?,?
boomerang,cuneata miguel molinari,amalocarpa,antony wren,2004
boreal,(decaisneana x caerulea),caerulea yanpas,samuel ruiz aranda,2017
bostand,boenderi,standleyi,nadine van rueschen,2017
bountiful beauty,selection of edulis,?,?,?
bounty,menispermifolia bolivia,hastifolia,bettina ulmer,?
bowker,selection of vitifolia,?,?,?
bramble jam,rosacea,smithii,aleksey miroshnichenko,2022
brazil / brazilie,selection of alata,?,?,?
brazilian gold,selection of edulis f. flavicarpa,?,?,?
briedeliana,?,?,?,?
bright eyes,angelo blu,kermesina,henk wouters,2005
brökwagter,amethyst,caerulea,henk wouters,?
brs estrela do cerrado,coccinea,setacea,„embrapa“ - plant breeders rights,2008
brs roseflora,brs estrela do cerrado,setacea,„embrapa“ - plant breeders rights,2008
brs rubiflora,brs estrela do cerrado,coccinea,„embrapa“ - plant breeders rights,2008
buckfordii,?,?,?,?
butterscotch,selection of capsularis,?,?,?
buzios,selection of princeps,?,?,?
byron beauty,edulis,incarnata,j.r. knight,1995
byte,byron beauty,inspiration,roland fischer,?
byte red fruit,?,?,?,?
cacita,citrina,adularia,silvan kamstra,?
caerulietta,caerulea,miersii,salvatore la delfa,2020
california,selection of manicata,?,?,?
calimero,star of surbiton,kermesina,bettina ulmer,?
calipso,colvillii,kermesina,maurizio vecchia,2010
camelot,semiciliosa,populifolia,rob mcphail,2022
campbellii,invalid,?,?,?
cannelle,coccinea or miniata,incarnata,j. segalen,2005
cantonspark,selection of manicata,?,?,?
caperucina bermeja,luzmarina,antioquiensis,carlos ibarra,?
caponii,triploid version of allardii,?,?,?
cappuccetto rosso,cuprea,murucuja,maurizio vecchia,2021
caprice,kermesina,tucumanensis,maurizio vecchia,2010
capsang,capsularis,sanguinolenta,alwin kamstra,?
caravaglia,selection of alata,?,?,?
cardinal,?,?,igor lyannoy,?
cardinalis,?,?,?,?
cardoso moreira,selection of amethystina,?,?,?
cardozo,panda,loefgrenii iporanga,shawn mattison,2014
carioca,selection of princeps,david costen,2006,?
carla viola,tarapotina,amethystina minas gerais,ernst natt,2011
carnevale di venezia,edmundoi,hastifolia,maurizio vecchia,2015
carnival,princeps,incarnata,craig daniel,?
carolina,sanguinolenta,capsularis,g. brusa,1996
cary,cincinnata,umbilicata,hendrik j. gommer,?
cassiopeia,(loefgrenii x caerulea),caerulea constance eliott,Eric Wortman / Crystal Stone,?
castro street,exoniensis,parritae,carlos ibarra,?
catherine howard,cincinnata,caerulea,rick mccain,1984
cecilie,(caerulea x aff. oerstedii),aff. oerstedii,leopold sevcik,1996
celia costen,violacea,caerulea constance eliott,david costen,1995
celine,pink nightmare,caerulea,volker lorenz / stefan rhyner,2004
chambord,sprucei,kermesina,ron boender,?
charlotte corday,selection of caerulea,?,?,?
chave,violacea,caerulea,maite chico padron,2007
cherries jubilee,(mixta x manicata),tripartita var. molissima,richard mccain,1992
cherry tart,cuprea,(yucatanensis x biflora),jim nevers,?
chianti,gritensis,?,roland fischer,?
chilean dreams,?,?,jana heym,?
china blue,selection of caerulea,?,?,?
chinensis,selection of caerulea,?,?,?
chiquito,morning star,gritensis,henk wouters,2009
christine murray,caerulea,decaisneana,martin murray,2005
cielo azul,(loefgrenii x caerulea),caerulea,jana heym,?
clara,incarnata,caerulea,maurizio vecchia,?
clara luna,caerulea constance eliott,eichleriana,maurizio vecchia,2007
claudia,kewensis,caerulea constance eliott,k. oldegarm,?
clear sky,((amethystina x caerulea) x caerulea),caerulea,roland fischer,?
cleweriana,masters,1877,?,?
cloudy,sweet surrender,caerulea,henk wouters,2009
clowesii / clowesiana,van houtte,?,?,?
coocoochee,(amethyst x princeps),gritensis,roland fischer,?
coelestina,?,?,?,?
cold blue,amethyst,caerulea,guido van herck,?
colet,princeps,tucumanensis,leopold sevcik,1999
collien,celine,(violet selection x caerulea constance eliott),nadine van rüschen,2020
colombina,kermesina,eichleriana,maurizio vecchia,?
columbus,phoenicea,amethystina,maurizio vecchia,2000
common pruple,selection of edulis,?,?,?
comte de kisseleff,?,?,?,?
comte de kuscheleff,?,?,?,?
comte de nesselrode,?,?,?,?
comte woronzoff,selection of raddiana,?,?,?
comtesse anna,?,?,?,?
comtesse giuglini,1876,?,?,?
concordia,selection of caerulea,christian feuillet,1991,?
connor cailean,loefgrenii corupa,caerulea,robert mcphail,2008
constance eliott,selection of caerulea,masters,1884,?
contento,gritensis,amethystina,henk wouters,2007
cooloola blue,subpeltata,edulis lacey,robert dostal,2021
coral flowers,?,?,?,?
coral glow,(tripartita var. mollissima x manicata),jamesonii (?),patrick worley,1983
coral sea,manicata,(tripartita var. mollissima x jamesonii)  (?),patrick worley,1983
cordelia,vitifolia,coccinea,r.j. knight,1993
coronata,alata,edulis f. edulis (?),sally pert / juan andres cantero mellado,2006
corry rooymans,rosa stern,alata,henk wouters,2003
corumba de goias,selection of amethystina,?,?,?
corupa,selection of loefgrenii,?,?,?
cotton candy,luzmarina,?,shawn mattison,?
count nesselrode,?,?,?,?
countesse gigliucci,?,?,?,?
crackerjack,selection of edulis,?,?,?
creamy,amethyst,caerulea,guido van herck,?
crimson tears,((amethyst x princeps) x gritensis),amethystina,roland fischer,2002
crown princess,cuprea,bicornis,jim nevers,2015
cupids blush,kew gardens,violacea,david costen,2005
curiosa,suberosa,coriacea,silvan kamstra,?
curly,phoenicea,amethystina,emmett brown,?
cute and cozy,yucatanensis,miguelliana,nisa knust,?
cutie,kew gardens,caerulea constance eliott,david costen,?
dafne,edmundoi,kermesina,maurizio vecchia,2010
dakota ransom,amethyst,caerulea,sally ransom,2001
dalal,amethystina,thuraia,maurizio vecchia,2007
damsel's delight,syn.: silly cow,?,myles irvine,?
dani,amethyst,caerulea,christopher taube,2018
daniela,(tucumanensis x princeps),caerulea,leopold sevcik,1996
danièle sabureau,murac,tarapotina,sebastien sabureau,2014
danza delle ore,edmundoi,caerulea,maurizio vecchia,?
darina,incarnata,?,?,?
dark purple,selection of incarnata,?,?,?
dark romance,?,?,?,?
dark star,edulis f. flavicarpa,caerulea,frank moser,?
daylight,incarnata,?,?,?
deanna,manicata,?,?,?
debbie marie hescott,jane t,citrina,martin wills,2016
debby,caerulea,gibertii,leopold sevcik,1999
decaisneana,alata,quadrangularis,planchon,1853
dedorina,violacea,caerulea,silvan kamstra,?
deidamata,white wedding,byron beauty,koos scheurwater,?
dejà vu,kermesina,caerulea constance eliott,roland fischer,2005
delicate dancer,oerstedii,caerulea,rick mccain,1988
denisa,incarnata,(tucumanensis x princeps),leopold sevcik,1996
diamantina,guglielmo betto,subpeltata,maurizio vecchia,?
diana,gibertii,subpeltata,?,?
diane king,violacea victoria,loefgrenii corupa,les king,2005
diego,amethyst,caerulea,martine sanchez,2014
diva,cupids blush,p. caerulea,david costen,2015
divertido,(tripartita var. mollissima x mixta),luzmarina,henk wouters,2007
doktor wittmack,loudonii,princeps,haage & schmidt,1883
dominic,adularia,?,?,?
dominik,citrina,?,?,?
donna brigham,?,?,patrick worley,?
doris,incarnata,?,?,?
doubravka,princeps,aff. oerstedii,leopold sevcik,?
drahomira,cincinnata,aff. oerstedii,leopold sevcik,?
dreamcatcher,organensis,amalocarpa,jim nevers,?
eclipse,violacea,caerulea,fraser wescott,?
ecuador lace,selection of edulis,?,?,?
eden,amethyst,caerulea,hilliers nurseries,2002
edgehill,selection of edulis,?,?,?
edita,biflora,sunburst,leopold sevcik,1996
edoardo vagli,fata confetto,caerulea,franco vagli,2021
edyta,annette,princeps,sebastien sabureau,2014
ek1,syn.: dedorina,?,?,?
ek2,violacea victoria,caerulea,silvan kamstra,?
elagans,invalid,?,?,?
elegante,kermesina,mucronata,henk wouters,2009
el indio,selection of trifasciata,michael schwerdtfeger,?,?
elice,edmundoi,la morellina,nadine van rüschen,2020
eloper,luzmarina,loefgrenii iporanga,carlos rendon,?
el oro,selection of punctata,michael schwerdtfeger,?,?
el tambo,klaas kingma,?,?,?
elizabeth,phoenicea,incarnata,patrick worley,1993
els,trisecta,mixta,henk wouters,2002
ely,caerulea,amethyst,henk wouters,?
embressa,?,?,?,?
emil kugler,selection of caerulea,roland fischer,2000,?
emily,?,?,francois thuys,?
emina,?,?,k. delic,?
emma,?,?,john vanderplank,?
encantado,?,?,eric wortman / crystal stone,?
energie,?,?,stafania mattiuzzo,?
enigma,decaisneana,alata,john vanderplank,1996
erik / eric,decaisneana,caerulea,van der steeg,?
eric peter,violetta,amethystina minas gerais,jim nevers,?
erl,blue-eyed susan,blue bouquet,kyle rahrig,2014
escobar,selection of manicata,?,?,?
èspero,incarnata alba,actinia,maurizio vecchia,?
esplendor,princeps,tarapotina,francois thuys,?
essenza,(temptation x temptation),inspiration,stefania mattiuzzo,?
etna,asterix,loefgrenii iporanga,maurizio vecchia,?
etoile blanche,star of mikan,subpeltata,van der steeg,?
eugenie,syn.: imperatrice eugenia,?,?,?
evatoria,decaisneana,caerulea constance eliott,cor laurens,1992
evelina,incarnata,byron beauty,?,?
evelyne,decaisneana,caerulea,van der steeg,?
evergreen,?,?,?,?
everywhere,amethystina,sprucei,john vanderplank,2001
excel,edulis,caerulea,les king,2000
ex menton,?,?,?,?
exoniensis,?,?,?,?
eye of the storm,morning star,gritensis,henk wouters,2005
eyleen,tucumanensis,princeps,leopold sevcik,?
eynsford gem,caerulea,princeps,?,?
fairchild,syn.: vitifolia,?,?,?
fantasia,amethystina minas gerais,subpeltata,jana heym,?
fantasma,exoniensis,umbilicata,henk wouters,2009
fata aurora,sport of fata confetto,?,maurizio vecchia,?
fata cerulea,fata confetto,caerulea constance eliott,maurizio vecchia,?
fata chiara,fata confetto,?,maurizio vecchia,?
fata confetto,guglielmo betto,incarnata,maurizio vecchia,2007
fata cristallo,sport of fata confetto,maurizio vecchia,?,?
fata del mare,fata confetto,edmundoi,maurizio vecchia,?
fata mistero,fata confetto,?,maurizio vecchia,?
fata morgana,fata confetto,sprucei,maurizio vecchia,?
fata nivea,fata confetto,tucumanensis,maurizio vecchia,?
fata perduta,fata confetto,edmundoi,maurizio vecchia,?
fata selvaggia,fata confetto,blue velvet,maurizio vecchia,?
fata serena,fata confetto,incarnata,maurizio vecchia,?
fata violetta,fata confetto,edmundoi (pink),maurizio vecchia,?
fata zaffiro,fata confetto,cincinnata,maurizio vecchia,?
father damian,incarnata,white star,raoul & patrizia vranken-smeets,2011
fertility,incarnata,cincinnata,roland fischer,?
fiametta,asterix,sprucei,maurizio vecchia,?
first love,kermesina,oerstedii,henk wouters,2005
fixstern,amethyst,caerulea constance eliott,monika gottschalk,1991
fledermouse,biflora,perfoliata,patrick worley,1984
flirtation,gritensis,loefgrenii corupa,john vanderplank,2007
floral fountain,phoenicea,actinia,rick mccain,1989
flora sabureau 1,kew gardens,princeps buzios,sebastien sabureau,2014
flora sabureau 2,kew gardens,princeps buzios,sebastien sabureau,2014
flora sabureau 3,kew gardens,princeps buzios,sebastien sabureau,2014
flora sabureau 4,kew gardens,princeps buzios,sebastien sabureau,2014
flora sabureau 5,kew gardens,princeps buzios,sebastien sabureau,2014
florida,selection of edulis,klaas kingma,?,?
flottbekstern,?,?,?,?
flying v,pendulifolia,perfoliata,myles irvine,2001
fourth of july,violacea,kermesina,henk wouters,2005
fragrance,selection of caerulea,?,?,?
