Cultivar Name,Female Parent,Male Parent,Breeder,Year
pablito,foetida,foetida var. nigelliflora,pablo posadas,2018
padre pio,annette,caerulea pierre pomie,raoul & patrizia vranken-smeets,2009
paganini,gibertii,incarnata,maurizio vecchia,2000
palomas delight,cobanensis,citrina,martin wills,2004
palomita rosada,tucumanensis,rosacea,christopher taube,2022
pamela jean,pura vida,amethystina minas gerais,samantha reynolds / jim nevers,2009
panama,selection of quadrangularis,?,?,?
panama gold,selection of edulis,?,?,?
panama red,selection of edulis,?,?,?
panda,monika fischer,white wedding,roland fischer,2006
pandora, syn. Stefano Capitanio,?,?,?
paola gastaldo,incarnata,sprucei,maurizio vecchia,2001
paraguay,selections of various species,?,?,?
patricie,colet,caerulea,leopold sevcik,1996
patty anne,amethystina,incarnata,?,?
patula,?,?,?,?
party animal,?,?,myles irvine,?
party time,platyloba,maliformis,jim nevers,?
pattie webb,white wedding,?,raoul vranken,?
paulo,edulis f. flavicarpa,caerulea,les king,2004
pavlina,kewensis,oerstedii,leopold sevcik,1996
paxtonii,princeps,alata,?,?
pearl of siam,soi fah,cincinnata (dark pollen),yvan vilain,2016
penny ann,edmundoi,loefgrenii,john vanderplank,2021
perfecta,selection of edulis,?,?,?
perfume,caerulea,gibertii,cor laurens,1992
perfume passion,alata,caerulea,?,?
peroba,selection of edulis,?,?,?
peter,coccinea,princeps,?,?
peter lawrence,vitifolia,glandulosa,ronald boender,2001
petra,incarnata,(violacea x caerulea),leopold sevcik,1996
pfordtii,invalid,alata,caerulea,1889
philippine,princeps,kermesina,wilhelm neubert,1851
pico de itapeva,selection of amethystina,?,?,?
pico do frade,selection of amethystina,?,?,?
pierre pomie,selection of caerulea,?,?,?
piet en marja colet,garckei,caerulea,john vanderplank,2016
pina,(temptation x temptation),(temptation x inspiration),stefania mattiuzzo,2017
pinanga,selection or variety of mixta,?,?,?
pinkarella,(arida x sublanceolata),sublanceolata,ethan nielsen,?
pink favorite,insignis,luzmarina,henk wouters,2007
pink festival,gritensis,amethystina,henk wouters,2005
pink fizz,kew gardens,tucumanensis,david costen,2008
pink jessie,(sanguinolenta x capsularis),conzattiana,martin wills,2004
pink jewel,foetida var. hirsutissima,palmeri var. sublanceolata,john vanderplank,2001
pink lady,incarnata,princeps,raoul vranken,?
pink passion,commercial name of wilgen k. verhoeff,?,?,?
pink polkadot,pink jewel,aurora,john vanderplank,2004
pink nightmare,subpeltata,gritensis,?,?
pink panther,selection of tripartita var. mollissima,daniel southard,2004,?
pink pride,rosa stern,gritensis,henk wouters,2000
pink pride 3,rosa stern,gritensis,henk wouters,2000
pink promenade,trisecta,mixta,rick mccain,1990
pink seduction,(asterix x subpeltata),gritensis,henk wouters,?
pink star,princeps,caerulea constance eliott,cor laurens,?
pinky,exoniensis,mixta,henk wouters,2007
pintado,selection of edulis,?,?,?
pippin,rattana,edulis f. flavicarpa,yvan vilain,2016
piresii / piresae,quadrifaria,vitifolia,john vanderplank,1996
pixie,?,?,eric wortman / chrystal stone,?
plavalaguna,byron beauty,temptation,istvan molnar,2016
plum pudding,cherry tart,aff. candollei,?,?
plum shadow,byron beauty,?,ethan nielsen,2015
polaris,?,?,l.a. king,2010
pole star,iridescence,odette,graeme boocock,2017
polly molly,citrina,conzattiana,martin wills,2005
poppet,white wedding,mini lamb,myles irvine,2008
porphyretica,syn.: oerstedii var. choconiana,?,?,?
poseidon,?,?,eric wortman / chrystal stone,?
possum purple,selection of edulis,?,?,?
postman,caerulea,oerstedii var. choconiana,martin wills,2004
pratt hybrid,selection of edulis,?,?,?
precioso,macrocarpa,alata,henk wouters,2004
pretty ballerina,phoenicea,actinia,rick mccain,1989
pretty tina,tarapotina,caerulea,martin drews,?
princeps-coccinea,coccinea,princeps,william b. storey,?
princesse hollande,?,?,?,?
priscilla,palmeri var. sublanceolata,foetida var. foetida,margarete m. souza,2008
professor eichler,loudonii,princeps,haage & schmidt,?
pruney,violacea,caerulea,shawn mattison,?
puerto rico,selection of rubra,?,?,?
pura vida 1,amethyst,princeps,silvan kamstra,1996
pura vida 2,amethyst,princeps,silvan kamstra,1996
purple companion,morning star,amethystina são sebastião,henk wouters,2007
purple flame,incarnata,caerulea,christopher taube,2018
purple gem,selection of edulis,?,?,?
purple giant,selection of edulis,?,?,?
purple haze,amethystina,caerulea,cor laurens,1995
purple-heart,amethystina são sebastião,amethystina,john vanderplank,2005
purple passion,?,?,?,1972
purple pendulum,loefgrenii,caerulea,jos spierenburg,?
purple rain,amethystina,caerulea,cor laurens,1996
purple tiger,phoenicea,quadrangularis,patrick worley,1996
quasar / quazar,caerulea constance eliott,pallens,patrick worley,?
queen beatrix,subpeltata,gritensis,?,?
queen guinevere,semiciliosa,menispermifolia,rob mcphail,2022
r1-2,incarnata maryland,jutta,igor lyannoy,?
r2-5,((incense x byron beauty) x incarnata alba),incarnata,hal love,?
radka,maliformis,?,leopold sevcik,1996
rambam,belotii,caerulea,sandra prais,2014
ranke fuer anke,amethystina minas gerais,tarapotina,ernst natt,2011
raphaël d-j,pura vida 1,lilac sunset,sebastien sabureau,2014
raspberries and cream,subpeltata,gritensis,roland fischer / mark cooper,?
raspberry strudel,annette,incarnata,?,?
rattana,edulis red panama,edulis f. flavicarpa,yvan vilain,2014
rauhnacht,mooreana,colvillii,thomas schneider,?
red bird,coral glow,manicata,patrick worley / rick mccain,?
red barron,john maloski,?,?,?
red cloud,(amethyst x princeps),gritensis,roland fischer,?
red dwarf,cuprea,?,simon schulz,2004
red emperor,?,?,?,?
red fury,princeps,quadriglandulosa,carlos magdalena,2010
red giant,selection of edulis,?,?,?
red inca,coccinea,incarnata,cor laurens,1996
red infinity,aurantia,cinnabarina,henk wouters,2000
red passion,commercial name for princeps in the uk,?,?,?
red rover,brazilian gold,kahuna,patrick worley / rick mccain,?
redondo,selection of edulis,?,?,?
regina,(amethyst beauty x caerulea constance eliott),oerstedii,leopold sevcik,1996
regnellii,selection of caerulea,?,masters,1872
rinconata,cincinnata,caerulea constance eliott,sally pert,2007
rita,princeps,kewensis,guido van herck,?
robertii,insignis,antioquiensis,masters,1875
robin,?,?,?,?
rochelle,platyloba,incarnata,patrick worley / rick mccain,?
roedie,cincinnata,pura vida,hendrik j. gommer,1991
roobas,miersii,loefgrenii corupa,robert mcphail,2014
rook li,?,?,?,?
rosachiara,angelo blu,phoenicea,maurizio vecchia,?
rosa dellalba,sublanceolata,foetida var. hispida,maurizio vecchia,?
rosamarie,simpin,loefgrenii corupa,maite chico padron,2007
rosaspina,arabesque,urbaniana,maurizio vecchia,?
rosa stern,star of mikan,subpeltata,van der steeg,?
rosa traum,coccinea,caerulea constance eliott,monika gottschalk,1991
rosea,pinnatistipula,tripartita var. molissima,h. karsten,1856
rosea,princeps,caerulea,?,?
rosemary,?,?,?,?
rossana,angelo blu,phoenicea,maurizio vecchia,?
round fruit,selection of rubra,?,?,?
rowena,?,?,?,?
royale,macrocarpa,quadrangularis,ronald boender,2007
rubi,manicata,mollissima,jana heym,?
ruby glow,selection of phoenicea,?,patrick worley,?
runt,incarnata maryland,jutta,hal love,?
runway,selection of helleri,?,?,?
sabin,princeps,caerulea,monika gottschalk,1991
santa tereza,selection of amethystina,?,?,?
sarah rachel,(kermesina x (loefgrenii x caerulea)),caerulea constance eliott,shawn mattison,2014
saint jean cap ferrat,?,?,?,?
saint julien,incarnata,caerulea,?,?
saint paul,?,?,?,?
saint rule,subpeltata,buonapartea,john wilson,190?
sammie b,pink jessie,lucy zara,martin wills,2005
sancap,sanguinolenta,capsularis,leopold sevcik,?
sandra,incarnata,oerstedii var. choconiana,leopold sevcik,1996
san francisco,syn.: golden gate,selection of mixta,?,?
sangwellii,?,?,?,?
san marco,edmundoi (pink),caerulea,maurizio vecchia,?
são sebastião,selection of amethystina,?,?,?
sapelo,selection of lutea,dan long,2011,?
sapphire,edulis f. flavicarpa,?,john vanderplank,1996
sarah,cincinnata,miniata,ronald boender,?
sarah aimee,foetida,urbaniana,john vanderplank,2000
sarapito,white wedding,caerulea emil kugler,maite chico padron,2007
sarka,?,?,?,?
scarlet,selection of manicata,?,?,?
scarlet flame,selection of vitifolia,0,kartuz greenhouses,1984
schalker siegestaumel,tinalandia,darina,?,?
schöne von imantag,selection of tripartita var. mollissima,?,?,?
schroederiana,alata,loudonii,j. a. schroeder,1845
schropeana,?,?,?,?
schroopeana,selection of caerulea,?,?,?
scotti,?,?,?,?
scribble,cincinnata,gibertii,maurizio vecchia,2000
senta,amethyst beauty,eichleriana,leopold sevcik,1993
serena,angelo blu,phoenicea,maurizio vecchia,2001
serenity,star of bristol,?,john vanderplank,2006
sevcik selection,selection of edulis,?,john vanderplank,1996
shannon,alata,?,?,?
sharka,oerstedii,decaisneana,leopold sevcik,1993
shelly,amethyst,caerulea,henk wouters,?
shemsa,intraspecific hybrid of foetida,?,?,?
shirley,amethyst beauty,eichleriana,leopold sevcik,1993
showy shadow,violetta,caerulea,bettina ulmer,?
sibilla,gaia,princeps buzios,maurizio vecchia,?
silly cow,syn.: damsel's delight,?,myles irvine,?
silver sabre,selection of lutea,?,?,?
silver sword,selection of lutea,?,?,?
silvie,caerulea,puple haze,henk wouters,1998
simpin,caerulea,amethystina,silvan kamstra,?
simply red,caerulea,amethystina,cor laurens,2000
singularity,incarnata,mooreana,eric wortman,?
sirus,selection of amethystina,?,axel frank,?
si simona,purple haze,simply red,cor laurens,?
sjana,coccinea / miniata,incarnata,?,?
skinneri,?,?,?,?
skywalker,kermesina,loefgrenii corupa,bettina ulmer,?
smelly,kewensis,retipetala,?,?
smithiana,manicata,tripartita var. molissima,masters,1891
snowflake,citrina,cobanensis,martin wills,2004
snow queen,?,?,myles irvine,?
snow white,(caerulea x amethyst),sapphire,john thompson,2003
soi fah,caerulea / incarnata (?),laurifolia (?),?,?
solange,peter lawrence,piresae,ron boender,2007
solène,vitifolia,incarnata,alain tan / sebastien sabureau,2011
solferino,exoniensis,parritae,carlos ibarra,?
sonia,clear sky,caerulea constance eliott,roland fischer / francisco j. diez,2004
sonja dülli,vitifolia,incarnata alba,franz dülli,2009
sophie d-j,murac,tarapotina,sebastien sabureau,2014
spider,incarnata,barbora,maurizio vecchia,?
sprinkle rain,blaumilch,gritensis,henk wouters,2005
spyder,selection of caerulea,?,patrick worley / rick mccain,1993
starlight,alata,caerulea,stefan lang,2004
stefano capitanio,fata confetto,edmundoi (pink),maurizio vecchia,?
st. john cap ferrat,syn.: saint john cap ferrat,?,?,?
st. julien,incarnata,caerulea,?,?
st. paul,?,?,?,?
st. rule,syn.: saint rule,?,?,?
star of berlin,princeps,edmundoi,andreas bäurle,2015
star of bristol,amethyst,caerulea constance eliott,john vanderplank,1984
star of clevedon,amethyst,caerulea constance eliott,john vanderplank,1984
star of evening,princeps,mucronata,john vanderplank,2009
star of jerusalem,amethyst,?,sandra prais,2011
star of kent,amethyst,caerulea,david costen,2008
star of kingston,amethyst,caerulea constance eliott,john vanderplank,1984
star of mikan,syn.: lavender lady,?,?,?
star of rehavia,amethyst,?,sandra prais,2011
star of surbiton,star of bristol,purple haze,myles irvine,2002
steining,?,?,?,?
stella de pezilla,murac,galbana,sebastien sabureau,2014
stella di cremona,violacea,caerulea constance eliott,maurizio vecchia,1997
stella di montignoso,star of clevedon,caerulea,franco vagli,2018
stern von bethlehem,selection of coccinea,?,?,?
stewardsiana,?,?,?,?
stockumer rot,not registered,princeps,decaisneana,?
stoutemeirss strain,selection of suberosa,?,?,?
stradivarius,murucuja,cuprea,maurizio vecchia,2001
strawberry and cream,colet,amethystina,stefan lang,2007
striker,phoenicea,princeps,patrick worley / rick mccain,1996
strybing,selection of mixta,?,?,?
strybing pink,parritae,tripartita var. molissima,don mahoney,2009
strybing red,antioquiensis,tripartita var. molissima,greg cunningham,?
suave,eichleriana,garckei,henk wouters,2009
sulita,ornithoura,boenderi,jorge ochoa,2010
summer blush,lady margaret,vitifolia,henk wouters,2005
sunburst,gilbertiana,jorullensis,patrick worley,1984
suncap,syn.: sancap,?,?,?
sundance,(caerulea x amethyst),sapphire,john thompson,2003
sunfire,sunburst,cuprea,anke hackert,2010
superba,invalid,selection of alata,1852,?
supernova,selection of incarnata,0,ethan nielsen,2015
supreme,selection of edulis,?,?,?
surprise,actinia,caerulea constance eliott,bettina ulmer,1999
susan brigham,tripartita var. mollissima,mixta,patrick worley,1984
susan joy,piresae,?,ron boender,2007
susanne,caerulea,star of clevedon,?,?
sweet allure,(mixta x manicata),tripartita var. molissima,patrick worley,1987
sweetleaf,vitifolia,incarnata,david costen,1995
sweepur,selection of edulis,?,?,?
sweet surrender,garckei,kermesina,henk wouters,2005
swingtime,pura vida,amethystina são sebastião,henk wouters,2004
tacsonia lavender,invalid,?,?,?
tangerine cream,apetala,jorullensis,patrick worley / rick mccain,1996
tango,star of surbiton,loefgrenii iporanga,shawn mattison,2014
tango 2,star of surbiton,loefgrenii iporanga,shawn mattison,2015
tara dawn,selection of P. incarnata,?,?,?
taza,amethyst,?,jacques jannel,?
telstar,caerulea,(caerulea x princeps),?,?
temptation,incarnata,cincinnata,roland fischer,1999
tequila sunrise,kew gardens,violacea,david costen,?
tereza,leopold sevcik,1996,?,?
teta,incarnata,princeps,leopold sevcik,1993
theophiliana,?,?,?,?
the spirit of the sea,violacea,caerulea,fuchuan wu,2021
thessa,pura vida,garckei,?,?
thuraia,kermesina,miersii,mauro peixoto,2004
tiara,kermesina,sidifolia,masaki yamagata,2005
tiger stripes,alata,quadrangularis,?,?
tiffani,incarnata lorayne,kermesina,roland fischer,2004
timben,(capsularis vanilla cream x conzattiana),citrina,julia k. böndel,2009
tinalandia,edulis f. flavicarpa,incarnata,patrick worley,1993
tiny tears,selection of suberosa,?,?,?
tough thomas,fata confetto,incarnata,robert dostal,2023
trauf,"complex hybrid of manicata, trisecta & umbilicata",?,?,?
tresederi,caerulea,princeps,tresederss nurserie,1972
tropical showers,blaumilch,gritensis,henk wouters,2005
turkey foot,syn.: tricuspis,?,?,?
twinkle star,(star of mikan x caerulea),caerulea,van der steeg,?
twin star,violacea,princeps,henk wouters,2004
twisted sister,temptation,byron beauty,vicki townsend,2010
uli,francois thuys,?,?,?
university,selection of edulis,?,?,?
uraniae,incarnata,caerulea,?,?
urchin,panda,loefgrenii iporanga,shawn mattison,2014
uxpana,leopold sevcik,?,?,?
valentine,temptation,?,sebastien sabureau,2010
valerie bishop,violacea victoria,caerulea,trevor bishop,2005
vanessa,luzmarina,loefgrenii corupa,michael graupe,2015
vanilla,selection of antioquiensis,0,silva tunkl,1989
vanilla cream,selection of capsularis,0,patrick worley,1984
varanzof,élie-abel carriere,1872,?,?
velvet beauty,violacea,caerulea,angelika schwarzwald,?
venus,amethyst,caerulea,maurizio vecchia,?
vera,(caerulea x oerstedii),caerulea,leopold sevcik,1996
verrucifera,possibly own species / variety of edulis,?,?,?
vibrant pink,antioquiensis,tripartita var. molissima,greg cunningham,?
vicky,kewensis,princeps,guido van herck,?
victoria,selection of violacea,?,?,?
viden,princeps,caerulea,leopold sevcik,?
vilma,tucumanensis,princeps,leopold sevcik,?
vincent,mooreana,caerulea pierre pomie,nadine van rüschen,2020
viola,syn.: violetta,?,?,?
violacea,princeps / caerulea,caerulea / princeps,?,1824
violet selection,selection of amethyst,bettina ulmer,?,?
violet star,violacea,caerulea constance eliott,monika gottschalk,1991
violetta,caerulea,oerstedii var. choconiana,leopold sevcik,1999
vivacemente,incarnata alba,cincinnata (dark pollen),maurizio vecchia,?
vivis,?,?,?,?
vladena,cincinnata,caerulea,leopold sevcik,1996
vlasta,incarnata,princeps,leopold sevcik,1993
volcano,mary jane,?,ron boender,2007
waterlemon,?,?,?,?
warmlands,variety of quadrangularis,?,?,?
watermelon leaf,selection of cuspidifolia,?,?,?
white lightning,probably protected,selection of caerulea,stephen and susan yandall,?
white mirror,white wedding,caerulea emil kugler,henk wouters,?
white queen,caerulea constance eliott,eichleriana,henk wouters,2004
white star,caerulea,?,guido van herck,?
white wedding,caerulea constance eliott,eichleriana,roland fischer / henk wouters,2004
wil,coccinea,princeps,?,?
wild brazil,selection of caerulea,?,?,?
wilgen heintje,princeps,alata,piet moermann,?
wilgen hennie,princeps,alata,piet moermann,?
wilgen k. verhoeff,insignis,mixta,piet moermann,?
wilgen marieke,incarnata,amethystina,piet moermann,?
wilgen r. robertson,insignis,mixta,piet moermann,?
winterland,white wedding,caerulea emil kugler,henk wouters,2007
wippel,princeps,caerulea constance eliott,?,?
witchcraft,?,?,patrick worley,?
woodhatch hybrid,?,?,haywood / masters,1888
xishuangbanna red,miniata,miniata,fuchuan wu,2019
xiyuan red,miniata,lady margaret,fuchuan wu,2021
yakima,amethystina,loefgrenii corupa,?,?
yalinga,amethystina,loefgrenii corupa,?,?
yee selection ,selection of edulis,?,?,?
yellow seedlings,selection of edulis,?,?,?
yola,wilgen marieke,loefgrenii corupa,?,?
yuki,violacea victoria,mucronata,masaki yamagata,2009
yvonne baron,amethyst,?,jacques jannel,?
zefira,odette,kermesina,maurizio vecchia,2010
zhuangyuan red,miniata,?,fuchuan wu,2021
zita,colet,?,leopold sevcik,1996
ziying,serrulata,maliformis,fuchuan wu,2021
zlata,sancap,citrina,leopold sevcik,1996
zofie,(amethyst x caerulea),gibertii,leopold sevcik,?
zophie,maurizio vecchia,?,?,?
12941,princeps,caerulea grandiflora,?,?
13971,coccinea / miniata,incarnata,?,?
14971,coccinea / miniata,incarnata,?,?
19932,coccinea / miniata,incarnata,?,?
21932,viden,caerulea,?,?
49961,princeps,caerulea,?,?
61961,"complex hybrid of princeps, tucumanensis & caerulea",?,?,
8485?6,amethyst,caerulea,john vanderplank,1984
848512,amethyst,caerulea,john vanderplank,1984
848533,amethyst,caerulea,john vanderplank,1984
86871?7,(amethyst x caerulea),caerulea,john vanderplank,1986
